========================================================================================================
A/B DU LEMME DE CLOTURE - 90 instances, budget 12 s par variante, comparaison APPARIEE
========================================================================================================
instance                   q identique  prouve A/B   ILP A   ILP B   dILP   LP B  coupes A/B  arch A/B  lemme  filtre
molfp_n7_m4_p3_c050_s2             ouiT/         T     191     182     -9    112    34/34      10/10        9     non
molfp_n7_m4_p3_c090_s1             ouiT/         T      41      41     +0     19     6/6        1/1         0     non
molfp_n7_m4_p3_c090_s2             ouiT/         T      37      37     +0     22     7/7        1/1         0     non
molfp_n7_m4_p4_c000_s1             ouiT/         T      63      59     -4     28     6/6        4/4         4     non
molfp_n7_m4_p4_c000_s2             ouiT/         T     272     251    -21    181    40/40      21/21       21     non
molfp_n7_m4_p4_c050_s1             ouiT/         T     259     259     +0    105    23/23      13/13        0     non
molfp_n7_m4_p4_c050_s2             ouiT/         T      99      99     +0     87     9/9        3/3         0     non
molfp_n7_m4_p4_c090_s1             ouiT/         T     108     108     +0     56    13/13       4/4         0     non
molfp_n7_m4_p4_c090_s2             ouiT/         T      40      40     +0     17     4/4        1/1         0     non
molfp_n8_m5_p2_c000_s1             ouiT/         T     262     262     +0     68    28/28       8/8         0     non
molfp_n8_m5_p2_c000_s2             ouiT/         T     102     102     +0     44    19/19       6/6         0     non
molfp_n8_m5_p2_c050_s1             ouiT/         T      47      47     +0     29    13/13       3/3         0     non
molfp_n8_m5_p2_c050_s2             ouiT/         T      49      49     +0     26    12/12       2/2         0     non
molfp_n8_m5_p2_c090_s1             ouiT/         T      29      29     +0     11     5/5        1/1         0     non
molfp_n8_m5_p2_c090_s2             ouiT/         T      32      32     +0     11     5/5        1/1         0     non
molfp_n8_m5_p3_c000_s1             ouiT/         T     358     358     +0    245    76/76      14/14        0     non
molfp_n8_m5_p3_c000_s2             ouiT/         T     130     130     +0     58    17/17       7/7         0     non
molfp_n8_m5_p3_c050_s1             ouiT/         T     108     108     +0     58    18/18       4/4         0     non
molfp_n8_m5_p3_c050_s2             ouiT/         T      89      89     +0     52    15/15       7/7         0     non
molfp_n8_m5_p3_c090_s1             ouiT/         T      38      38     +0     16     5/5        1/1         0     non
molfp_n8_m5_p3_c090_s2             ouiT/         T      38      38     +0     19     6/6        1/1         0     non
molfp_n8_m5_p4_c000_s1             ouiT/         T     431     424     -7    193    40/40      25/25        7     non
molfp_n8_m5_p4_c000_s2             ouiT/         T     592     595     +3    240    40/40       8/8         0     non
molfp_n8_m5_p4_c050_s1             ouiT/         T      68      68     +0     53    10/10       1/1         0     non
molfp_n8_m5_p4_c050_s2             ouiT/         T      95      95     +0     69    15/15       5/5         0     non
molfp_n8_m5_p4_c090_s1             ouiT/         T      47      47     +0     25     6/6        1/1         0     non
molfp_n8_m5_p4_c090_s2             ouiT/         T      44      44     +0     21     5/5        1/1         0     non
--------------------------------------------------------------------------------------------------------
  delta ILP par paire : mediane +0   moyenne -2.1   total -185   baisses 21/90
  preuves : gagnees 0   perdues 0   inchangees 90
  VALIDITE q_lb <= q_ub : TOUT VALIDE
